,24h_volume_usd,available_supply,market_cap_usd,max_supply,name,price_btc,price_usd,rank,symbol
0,22081300000,16785225,284909052105,21000000.0,Bitcoin,1.0,16973.8,1,BTC
1,5221370000,38739144847,119207709132,100000000000.0,Ripple,0.00018601,3.07719,2,XRP
2,5705690000,96803840,100115499075,inf,Ethereum,0.0625169,1034.21,3,ETH
3,1569900000,16896225,44424061657,21000000.0,Bitcoin Cash,0.158934,2629.23,4,BCH
4,428305000,25927070538,25916647856,45000000000.0,Cardano,6.042e-05,0.999598,5,ADA
5,2105240000,54637708,16574020942,84000000.0,Litecoin,0.0183368,303.344,6,LTC
6,146039000,8999999999,14813369998,inf,NEM,9.949e-05,1.64593,7,XEM
7,656389000,17877794558,12634630726,inf,Stellar,4.272e-05,0.706722,8,XLM
8,2971610000,65748192475,11741640953,inf,TRON,1.08e-05,0.178585,9,TRX
9,194039000,2779530283,11143859582,2779530283.0,IOTA,0.00024236,4.00926,10,MIOTA
10,238654000,7801457,9443273049,18900000.0,Dash,0.0731704,1210.45,11,DASH
11,259097000,65000000,6409507000,inf,NEO,0.00596073,98.6078,12,NEO
12,647694000,586635743,6378431775,1000000000.0,EOS,0.00065725,10.8729,13,EOS
13,176521000,15569135,6093712747,inf,Monero,0.0236595,391.397,14,XMR
14,188352000,16748174,4699437020,21000000.0,Bitcoin Gold,0.0169616,280.594,15,BTG
15,1435930000,73787268,4610427730,inf,Qtum,0.00377701,62.4827,16,QTUM
16,57669000,133248289,4354913862,133248290.0,RaiBlocks,0.00197563,32.6827,17,XRB
17,420911000,98914249,3663922263,inf,Ethereum Classic,0.00223911,37.0414,18,ETC
18,256935000,116710388,3614952545,inf,Lisk,0.00187233,30.9737,19,LSK
19,84748700,183253534612,2961908555,184470000000.0,Bytecoin,9.8e-07,0.0161629,20,BCN
20,507996000,31396146174,2876963877,inf,Siacoin,5.54e-06,0.0916343,21,SC
21,150401000,378545005,2788983321,inf,ICON,0.00044537,7.36764,22,ICX
