id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address,USD_price,USD_volume_24h,USD_volume_change_24h,USD_percent_change_1h,USD_percent_change_24h,USD_percent_change_7d,USD_percent_change_30d,USD_percent_change_60d,USD_percent_change_90d,USD_market_cap,USD_market_cap_dominance,USD_fully_diluted_market_cap,USD_last_updated
1,Bitcoin,BTC,bitcoin,9175,2013-04-27T18:30:00Z,,21000000,18965512,18965512,1,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,37871.46671171695,27518633369.191742,7.8174,0.58025625,0.2132428,-14.02884625,7.93069147,-26.38517981,-33.28350516,718251756378.6683,42.2047,795300800946.06,2022-02-22T14:00:00Z
1027,Ethereum,ETH,ethereum,5516,2015-08-06T18:30:00Z,,NA,119688339.0615,119688339.0615,2,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,2601.9294063785533,18048991047.972927,7.1808,0.36204413,-1.19450211,-16.42447489,7.36833501,-36.56309922,-38.24910931,311420609004.7237,18.2992,311420609004.72,2022-02-22T14:00:00Z
825,Tether,USDT,tether,28381,2015-02-24T18:30:00Z,,NA,79354706739.88094,82064697052.53387,3,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0005263634647092,65657024440.128914,1.9886,-0.0043579,0.00542406,-0.00542106,0.03095814,0.04330495,0.05125839,79396476158.26152,4.667,82107892910.8,2022-02-22T14:00:00Z
1839,BNB,BNB,bnb,710,2017-07-24T18:30:00Z,,165116760,165116760.89,165116760.89,4,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,368.76636676332026,2120581093.367721,7.5011,0.95086727,-0.13042574,-14.62048047,-0.00843998,-32.68752995,-36.70980258,60889508005.13319,3.5779,60889507676.93,2022-02-22T14:00:00Z
3408,USD Coin,USDC,usd-coin,3082,2018-10-07T18:30:00Z,,NA,52722711494.016396,52722711494.016396,5,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0003220698149706,4672784376.695022,3.7086,0.10566878,0.03964324,0.08546143,0.05362314,0.04341999,-0.09208902,52739691887.95203,3.099,52739691887.95,2022-02-22T14:00:00Z
52,XRP,XRP,xrp,681,2013-08-03T18:30:00Z,,100000000000,47949281138,99989739391,6,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,0.7005289444387125,3934836757.7573676,25.7161,0.44022207,-7.13148379,-15.28218424,16.83832629,-25.86933288,-31.06954084,33589859302.198208,1.9738,70052894443.87,2022-02-22T14:00:00Z
2010,Cardano,ADA,cardano,365,2017-09-30T18:30:00Z,,45000000000,33626462852.196,34124387217.285,7,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,0.882185519982393,2339977564.8519917,28.3326,1.69133896,-3.99955609,-19.22899158,-17.82468265,-38.20012989,-45.0955927,29664778616.43315,1.7437,39698348399.21,2022-02-22T14:00:00Z
5426,Solana,SOL,solana,259,2020-04-09T18:30:00Z,,NA,319792577.8522736,511616946.142289,8,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,85.31492249084788,2345030501.6129622,-15.1082,0.57162647,-1.75165078,-16.18032895,-11.20542681,-56.00832602,-57.44946896,27283078992.615158,1.6037,43648560105.13,2022-02-22T14:00:00Z
4172,Terra,LUNA,terra-luna,154,2019-07-25T18:30:00Z,,NA,387036041.5802077,800625518.823114,9,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,53.94237778616319,2408504049.1604595,37.6322,1.72345209,2.94670827,-3.71675355,-17.61815731,-44.59600382,41.01720196,20877644371.78073,1.2268,43187644201.6,2022-02-22T14:00:00Z
4687,Binance USD,BUSD,binance-usd,3030,2019-09-19T18:30:00Z,,NA,18292052873.379257,18292052873.379257,10,NA,NA,2022-02-22T14:00:00Z,1839,BNB Beacon Chain (BEP2),BNB,bnb,BUSD-BD1,1.0007137988266783,5264937460.6265335,8.0516,8.5574e-4,0.19991184,0.04360944,0.07665249,0.12279047,0.05883361,18305109719.257812,1.0756,18305109719.26,2022-02-22T14:00:00Z
5805,Avalanche,AVAX,avalanche,195,2020-07-12T18:30:00Z,,NA,245503751.24967277,395891289.9134107,11,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,71.98122306689552,1506764916.0077515,3.5139,-0.20280143,-3.50541899,-19.97329235,16.72300924,-40.435349,-36.47246335,17671660282.462326,1.0388,28496739249.5,2022-02-22T14:00:00Z
74,Dogecoin,DOGE,dogecoin,449,2013-12-14T18:30:00Z,,NA,132670764299.89409,132670764299.89409,12,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,0.12974787060419948,892254389.6045963,24.4905,0.30700413,-3.85132725,-13.3114861,-5.38747623,-32.66102418,-39.56253336,17213749159.342907,1.0118,17213749159.34,2022-02-22T14:00:00Z
6636,Polkadot,DOT,polkadot-new,310,2020-08-18T18:30:00Z,,NA,987579314.957085,1103303471.382273,13,904869778,14667608827.564304,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,16.20963500403735,1253049357.6361513,11.1889,0.43447186,-1.45308544,-18.30849585,-10.15729285,-44.34750994,-57.70268252,16008300232.99159,0.941,17884146569.79,2022-02-22T14:00:00Z
5994,Shiba Inu,SHIB,shiba-inu,312,2020-07-31T18:30:00Z,,NA,549063278876301.94,589735030408322.75,14,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2.443293849384792e-5,1736200732.145882,-5.9769,0.55162771,-5.26742923,-20.51257127,13.66586751,-34.83276625,-34.17319156,13415229322.015154,0.7883,14408959725.63,2022-02-22T14:00:00Z
7129,TerraUSD,UST,terrausd,297,2020-09-20T18:30:00Z,,NA,12198241496.811235,12198217251.1244,15,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,1.0022059668366088,397241536.6953069,-11.5287,0.0249479,-0.22043962,0.31844916,0.42940228,0.08824495,0.06407721,12225150413.018147,0.7186,12225126113.85,2022-02-22T14:00:00Z
3890,Polygon,MATIC,polygon,329,2019-04-27T18:30:00Z,,10000000000,7532274364.27,10000000000,16,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,1.4243874259997313,1486934198.0172527,8.3302,0.69777761,-4.07430316,-20.49929569,-7.84816913,-44.13135189,-14.53042596,10728876893.646309,0.6304,14243874260,2022-02-22T14:00:00Z
4943,Dai,DAI,multi-collateral-dai,773,2019-11-21T18:30:00Z,,NA,10091450175.59055,10091450175.59055,17,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,1.0000712765761335,383516967.36733174,-0.1004,-0.0025589,0.08650245,0.03172779,0.00681901,-0.15800287,0.08868295,10092169459.607286,0.5932,10092169459.61,2022-02-22T14:00:00Z
3635,Crypto.com Coin,CRO,crypto-com-coin,129,2018-12-13T18:30:00Z,,30263013692,25263013692,30263013692,18,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0.39629304208115074,151519716.13961077,16.309,1.15554309,-1.01822705,-19.37962786,8.95118298,-41.66601099,-56.44088456,10011556548.140444,0.5885,11993021758.55,2022-02-22T14:00:00Z
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,334,2019-01-29T18:30:00Z,,NA,263162.20686194,263162.20686194,19,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,37739.17272352222,223032344.3260613,6.5779,0.30086133,-0.2045402,-14.47289288,7.39420556,-26.23404187,-32.96719675,9931523979.066038,0.5836,9931523979.07,2022-02-22T14:00:00Z
2,Litecoin,LTC,litecoin,733,2013-04-27T18:30:00Z,,84000000,69696943.91010796,84000000,20,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,106.1600854307546,1027734111.0455455,20.0193,0.43217452,-2.21162666,-18.23695583,-1.23398022,-35.12055313,-48.7026638,7399033519.759572,0.4348,8917447176.18,2022-02-22T14:00:00Z
3794,Cosmos,ATOM,cosmos,240,2019-03-13T18:30:00Z,,NA,286370297,0,21,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,24.268451057228702,786798891.989708,-6.942,0.74395406,-3.63161256,-15.70135358,-24.75934922,-14.62272973,-17.44929899,6949763536.988547,0.4085,0,2022-02-22T14:00:00Z
1975,Chainlink,LINK,chainlink,596,2017-09-19T18:30:00Z,,1000000000,467009549.5205637,1000000000,22,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,13.9019582648449,872416254.6799299,12.3297,0.1295994,-2.01172107,-17.92485458,-10.30033708,-37.90150107,-45.0735021,6492347266.718895,0.3816,13901958264.84,2022-02-22T14:00:00Z
1958,TRON,TRX,tron,569,2017-09-12T18:30:00Z,,NA,101763771141.24414,101763775028.48459,23,71659659264,4441445104.826701,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,0.06197971285997966,1071646297.4301342,-3.8619,0.59715413,0.71263179,-6.57226423,10.41626711,-24.30978053,-35.79319422,6307289314.882997,0.3707,6307289555.81,2022-02-22T14:00:00Z
4195,FTX Token,FTT,ftx-token,112,2019-07-30T18:30:00Z,,352170015,137926022.11874375,333795358.1859715,24,NA,NA,2022-02-22T14:00:00Z,1839,BNB Beacon Chain (BEP2),BNB,bnb,FTT-F11,41.05669714400504,178969342.25032303,19.5498,0.45549697,0.85077417,-12.38930277,19.74942175,-5.30852754,-17.30955795,5662786918.406603,0.3329,14458937649.05,2022-02-22T14:00:00Z
6535,NEAR Protocol,NEAR,near-protocol,107,2020-08-10T18:30:00Z,,1000000000,638887279,1000000000,25,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,8.725012614231652,482960752.0619684,2.7819,1.04605487,-3.07450758,-22.39923677,-21.92037062,-42.78792036,-4.20850897,5574299568.3471365,0.3277,8725012614.23,2022-02-22T14:00:00Z
3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-20T18:30:00Z,,NA,953954130,985239504,26,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,5.820434380408573,6461865.82946912,-5.3048,0.23237083,0.38801948000000003,-2.62004692,61.68868664,61.92658285,75.03108883,5552427415.584749,0.3264,5734521882.02,2022-02-22T14:00:00Z
7083,Uniswap,UNI,uniswap,337,2020-09-16T18:30:00Z,,1000000000,632545837.5965742,1000000000,27,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,8.733551248420296,287200590.35142154,13.2341,0.50324576,-3.89863549,-20.76676926,-21.06065323,-51.6493046,-57.58013538,5524371489.624622,0.3246,8733551248.42,2022-02-22T14:00:00Z
1831,Bitcoin Cash,BCH,bitcoin-cash,570,2017-07-22T18:30:00Z,,21000000,18990406.25,18990406.25,28,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,289.65078012692106,4227215697.684519,2.4457,0.28362719,-2.04609345,-14.38260371,0.31049103,-36.67194249,-51.24215949,5500585985.239657,0.3232,6082666382.67,2022-02-22T14:00:00Z
4030,Algorand,ALGO,algorand,188,2019-06-19T18:30:00Z,,10000000000,6616974444.092765,7056185826.495972,29,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,0.8021280140268006,282334708.1516629,30.3452,0.58398058,-2.63074182,-15.5965169,-14.96030734,-49.7887559,-53.43459158,5307660569.706223,0.312,8021280140.27,2022-02-22T14:00:00Z
1966,Decentraland,MANA,decentraland,243,2017-09-16T18:30:00Z,,NA,1832123298.3634298,2193831427.320146,30,NA,NA,2022-02-22T14:00:00Z,1027,Ethereum,ETH,ethereum,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,2.5343990253218185,1222224448.9500663,-6.7581,0.1787621,-3.72203837,-20.56472562,25.11313111,-29.96694337,-50.59793155,4643331501.641672,0.2729,5560044231.12,2022-02-22T14:00:00Z
512,Stellar,XLM,stellar,404,2014-08-04T18:30:00Z,,50001806812,24917501931.64489,50001802166.434555,31,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,0.1826996637689934,385784760.7302326,3.6889,0.87851791,-3.57195838,-15.96177621,-5.08826192,-35.01750488,-43.23930845,4552419224.874765,0.2676,9135313292.39,2022-02-22T14:00:00Z
4642,Hedera,HBAR,hedera,85,2019-09-16T18:30:00Z,,50000000000,18092792421.137627,50000000000,32,19389577881,4326237078.851378,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,0.22312177734878347,208419241.2551505,126.7371,1.59454141,6.06168609,-12.76136636,3.20444668,-29.38046497,-35.80037989,4036896002.2068267,0.2373,11156088867.44,2022-02-22T14:00:00Z
4023,Bitcoin BEP2,BTCB,bitcoin-bep2,103,2019-06-17T18:30:00Z,,NA,105148.39581105,112501,33,NA,NA,2022-02-22T14:00:00Z,1839,BNB Beacon Chain (BEP2),BNB,bnb,BTCB-1DE,37818.481228144236,55829745.13788795,6.6373,0.46477333,-0.08158092,-14.17249966,8.14151585,-26.52710082,-33.32433468,3976552633.1496744,0.2337,4254616956.65,2022-02-22T14:00:00Z
3513,Fantom,FTM,fantom,247,2018-10-28T18:30:00Z,,3175000000,2545006273,2545006273,34,NA,NA,2022-02-22T14:00:00Z,NA,NA,NA,NA,NA,1.556015649138483,1110400296.1544318,35.9023,-0.32823216,-6.96642472,-24.38389464,-28.53229781,-28.83669212,-37.87401433,3960069587.943606,0.2327,4940349686.01,2022-02-22T14:00:00Z
